id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
725534,TX,INDIVIDUAL,1 year,Able Electronics,B,OWN,11/4/2021,12/13/2021,7/13/2021,Charged Off,8/13/2021,920793,car,B4, 36 months,Not Verified,48000,0.051,60.34,0.1074,1850,45,1655
428387,PA,INDIVIDUAL,< 1 year,Abraxas I,C,OWN,9/7/2021,5/16/2021,9/10/2021,Charged Off,9/11/2021,506847,car,C2, 36 months,Not Verified,27852,0.1021,141.2,0.1284,4200,28,282
783561,CA,INDIVIDUAL,6 years,La curacao,A,RENT,11/6/2021,12/6/2021,12/2/2021,Charged Off,12/3/2021,986688,car,A4, 36 months,Not Verified,48000,0.2585,186.61,0.0749,6000,16,1575
969474,HI,INDIVIDUAL,7 years,Outback Steakhouse,A,RENT,11/10/2021,3/14/2021,10/13/2021,Charged Off,11/13/2021,1190684,car,A5, 36 months,Not Verified,30000,0.1872,228.63,0.089,7200,25,5845
773111,WA,INDIVIDUAL,3 years,URS corp,A,RENT,11/6/2021,4/14/2021,11/13/2021,Charged Off,12/13/2021,975126,car,A5, 36 months,Not Verified,22800,0.0526,75.76,0.0849,2400,3,2278
472634,FL,INDIVIDUAL,1 year,walmart,A,RENT,9/12/2021,11/4/2021,10/11/2021,Charged Off,10/12/2021,596856,car,A1, 36 months,Not Verified,12720,0,231.75,0.0705,7500,9,2073
494891,MA,INDIVIDUAL,5 years,EdgeStream Inc,B,RENT,10/3/2021,4/16/2021,11/3/2021,Charged Off,11/4/2021,633723,car,B5, 36 months,Not Verified,31000,0.0159,182.66,0.1136,5550,5,2083
458797,NV,INDIVIDUAL,8 years,MAD MATT'S Bar & Grille,B,RENT,9/11/2021,11/11/2021,11/7/2021,Charged Off,11/8/2021,571361,car,B2, 36 months,Not Verified,89650,0.0056,725.31,0.1148,22000,19,15424
743690,OK,INDIVIDUAL,3 years,Dominos Pizza,B,RENT,11/5/2021,2/15/2021,12/6/2021,Charged Off,12/7/2021,942003,car,B5, 36 months,Not Verified,45000,0.1464,332.1,0.1199,10000,18,4553
384963,NJ,INDIVIDUAL,10+ years,Pesci Family,B,RENT,9/3/2021,11/7/2021,11/3/2021,Charged Off,11/4/2021,416412,car,B1, 36 months,Not Verified,39996,0.2298,261.71,0.1095,8000,43,6197
508426,OH,INDIVIDUAL,< 1 year,Forum Health,B,RENT,10/5/2021,5/16/2021,11/12/2021,Charged Off,11/1/2022,656002,car,B4, 36 months,Not Verified,49800,0.174,163.68,0.1099,5000,13,3110
402318,IL,INDIVIDUAL,8 years,River Trails Park District,B,RENT,9/5/2021,12/3/2021,11/10/2021,Charged Off,11/11/2021,446914,car,B5, 36 months,Not Verified,15000,0.1688,106.61,0.1221,3200,19,3140
